"50","2","Scott Rapid-Dissolving Toilet Paper, 4 Rolls","Count: 4 Rolls","489","1","https://www.walmart.com/ip/Scott-Rapid-Dissolving-Toilet-Paper-4-Rolls/412662382?selected=true",,"17","0","approved",,"2020-03-09 15:50:15","0000-00-00 00:00:00"
"51","22","Amazon Brand - Solimo Chamomile Herbal Tea Bags, 20 Count",,"299","2","https://www.amazon.com/gp/product/B07NJNNKJD/ref=ppx_yo_dt_b_asin_title_o03_s00?ie=UTF8&psc=1",,"17","0","approved",,"2020-03-09 16:18:04","0000-00-00 00:00:00"
"52","22","(5 Boxes) Great Value Green Tea, Tea Bags, 40 Count","$0.04 / each","632","1","https://www.walmart.com/ip/5-Boxes-Great-Value-Green-Tea-Tea-Bags-40-Count/47227472",,"17","0","approved",,"2020-03-09 16:20:30","0000-00-00 00:00:00"
"62","15","(2 pack) Irish Spring Original, Deodorant Bar Soap, 3.7 Ounce, 8 Bar Pack",,"794","1","https://www.walmart.com/ip/2-pack-Irish-Spring-Original-Deodorant-Bar-Soap-3-7-Ounce-8-Bar-Pack/236818866?selected=true",,"17","0","approved",,"2020-03-09 23:18:36","0000-00-00 00:00:00"
"63","23","Alpine Swiss Mens Plaid Scarf Soft Winter Scarves Unisex",,"1099","2","https://www.amazon.com/gp/product/B01M7Q7S2O/",,"17","0","approved",,"2020-03-10 00:40:21","0000-00-00 00:00:00"
"66","2","ANGEL SOFTÂ®, 24 DOUBLE ROLLS, UNSCENTED TUBE","24 Double Rolls = 48 Regular Rolls","1399","9","https://www.angelsoft.com/Shop/Shop-Toilet-Paper/p/79176/01DR",,"17","0","approved",,"2020-03-10 01:14:39","0000-00-00 00:00:00"
"67","24"," Crest Complete Whitening + Scope Toothpaste, Minty Fresh, 5.4 Ounce Triple Pack",,"652","2","https://www.amazon.com/Crest-Complete-Whitening-Toothpaste-Triple/dp/B005PLQIQ4/ref=sxin_4_ac_d_rm?ac_md=0-0-dG9vdGhwYXN0ZQ%3D%3D-ac_d_rm&cv_ct_cx=toothpaste&keywords=toothpaste&pd_rd_i=B005PLQIQ4&pd_rd_r=b3fbf2a4-7756-4856-aed8-51d2d85a7689&pd_rd_w=CPa87&pd_rd_wg=Iu4ZV&pf_rd_p=de19e82a-2d83-4ae8-9f5c-212586b8b9a0&pf_rd_r=YP5AYJSTBKX3FDTVHN31&psc=1&qid=1583818739",,"17","0","approved",,"2020-03-10 01:39:48","0000-00-00 00:00:00"
"69","13","Clorox",,"2499","2","https://www.amazon.com/dp/B07W1GCMKD/",,"19","0","expired",,"2020-03-10 21:49:52","0000-00-00 00:00:00"
"73","11","Bounty Select-A-Size Kitchen Rolls Paper Towels, 2-Ply, 83 Sheets/Roll, 12 Rolls/Carton",,"1987","3","https://www.staples.com/Bounty-Select-A-Size-Paper-Towels-12-Giant-Rolls-18-Regular-Rolls-88212-81440/product_102435?akamai-feo=off",,"19","0","approved",,"2020-03-10 22:03:45","0000-00-00 00:00:00"
"75","25","Depend Incontinence Shields for Men, Light Absorbency","$0.20 / each","1144","1","https://www.walmart.com/ip/Depend-Incontinence-Shields-for-Men-Light-Absorbency-Packaging-May-Vary/24538619",,"19","0","approved",,"2020-03-11 16:02:00","0000-00-00 00:00:00"
"76","25","Depend For Men Incontinence Guards, Maximum Absorbency","$0.22 / each","1153","1","https://www.walmart.com/ip/Depend-For-Men-Incontinence-Guards-Maximum-Absorbency-52-count/16940253",,"19","0","approved",,"2020-03-11 16:03:23","0000-00-00 00:00:00"
"77","26","BUSH'S Pinto Beans in a Mild Chili Sauce","$0.07 / oz","745","1","https://www.walmart.com/ip/4-Pack-BUSH-S-Pinto-Beans-in-a-Mild-Chili-Sauce-27-oz/537962404",,"19","0","approved",,"2020-03-11 16:11:31","0000-00-00 00:00:00"
"78","5","2 pack) Welch's Strawberry Natural Spread, 27 oz","$0.11 / oz","596","1","https://www.walmart.com/ip/2-pack-Welch-s-Strawberry-Natural-Spread-27-oz/156737614",,"19","0","approved",,"2020-03-11 16:29:41","0000-00-00 00:00:00"
"79","25","Super Poligrip Original Formula Zinc Free Denture Adhesive Cream, 2.4 ounce (3 pack)","$1.79 / oz","0","1","https://www.walmart.com/ip/Super-Poligrip-Original-Formula-Zinc-Free-Denture-Adhesive-Cream-2-4-ounce-3-pack/481336870",,"19","0","pending",,"2020-03-11 16:44:58","0000-00-00 00:00:00"
"80","25","Super Poligrip Original Formula Zinc Free Denture Adhesive Cream","$1.79 / oz","1288","1","https://www.walmart.com/ip/Super-Poligrip-Original-Formula-Zinc-Free-Denture-Adhesive-Cream-2-4-ounce-3-pack/481336870",,"19","0","approved",,"2020-03-11 16:45:54","0000-00-00 00:00:00"
"82","6","Barilla Pasta, Rotini, 16 Ounce (Pack of 12)","($0.08 / Ounce) & FREE Shipping on orders over $25.00 shipped by Amazon.","1536","2","https://www.amazon.com/Barilla-Pasta-Rotini-Ounce-Pack/dp/B00DRA8K4I/ref=sr_1_7?keywords=pasta&qid=1583959870&s=grocery&sr=1-7",,"19","0","approved",,"2020-03-11 16:52:52","0000-00-00 00:00:00"
"83","12","a","a","0","2","amazon.com",,"19","0","pending",,"2020-03-11 20:13:16","0000-00-00 00:00:00"
